Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.01,0.61,0.3568968013656407
75% Corpus,5,0.01,0.9099999999999999,0.49531165425840085
75% Corpus,5,0.01,symmetric,0.4576672746000086
75% Corpus,5,0.31,0.01,0.37393551190275315
75% Corpus,5,0.31,0.31,0.4362440244396729
75% Corpus,5,0.31,0.61,0.4170583329191686
75% Corpus,5,0.31,0.9099999999999999,0.48094190127901504
75% Corpus,5,0.31,symmetric,0.45822160619109525
75% Corpus,5,0.61,0.01,0.3821220032384044
75% Corpus,5,0.61,0.31,0.3968402380958653
75% Corpus,5,0.61,0.61,0.46476763244686525
75% Corpus,5,0.61,0.9099999999999999,0.47487149155653646
75% Corpus,5,0.61,symmetric,0.41180467512636804
75% Corpus,5,0.9099999999999999,0.01,0.40000143562879514
75% Corpus,5,0.9099999999999999,0.31,0.3999284590625074
75% Corpus,5,0.9099999999999999,0.61,0.4858218936076118
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4809499563056637
75% Corpus,5,0.9099999999999999,symmetric,0.3978346055384832
75% Corpus,5,symmetric,0.01,0.36065117098752875
75% Corpus,5,symmetric,0.31,0.4528632554313311
75% Corpus,5,symmetric,0.61,0.41272073839803874
75% Corpus,5,symmetric,0.9099999999999999,0.4640002078325952
75% Corpus,5,symmetric,symmetric,0.45642387814376695
75% Corpus,5,asymmetric,0.01,0.41295828772913473
75% Corpus,5,asymmetric,0.31,0.45625525544856493
75% Corpus,5,asymmetric,0.61,0.5179746468573999
75% Corpus,5,asymmetric,0.9099999999999999,0.4847483658349293
75% Corpus,5,asymmetric,symmetric,0.44586076921839346
75% Corpus,6,0.01,0.01,0.36833395464291635
75% Corpus,6,0.01,0.31,0.4282389484542781
75% Corpus,6,0.01,0.61,0.39580065233854556
75% Corpus,6,0.01,0.9099999999999999,0.5270177165259439
75% Corpus,6,0.01,symmetric,0.4666445179877081
75% Corpus,6,0.31,0.01,0.3773018784847886
75% Corpus,6,0.31,0.31,0.4776884528412378
75% Corpus,6,0.31,0.61,0.4708597973189943
75% Corpus,6,0.31,0.9099999999999999,0.4631426934903999
75% Corpus,6,0.31,symmetric,0.42917991560951047
75% Corpus,6,0.61,0.01,0.38943002624054407
75% Corpus,6,0.61,0.31,0.4396807145957519
75% Corpus,6,0.61,0.61,0.526808958217611
75% Corpus,6,0.61,0.9099999999999999,0.5949385299042677
75% Corpus,6,0.61,symmetric,0.37919901304068215
75% Corpus,6,0.9099999999999999,0.01,0.40323497890949067
75% Corpus,6,0.9099999999999999,0.31,0.418198554312678
75% Corpus,6,0.9099999999999999,0.61,0.5377439624254935
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5738942339548239
75% Corpus,6,0.9099999999999999,symmetric,0.3876084891076386
75% Corpus,6,symmetric,0.01,0.35864387977310797
75% Corpus,6,symmetric,0.31,0.4310139505266441
75% Corpus,6,symmetric,0.61,0.444830574978601
75% Corpus,6,symmetric,0.9099999999999999,0.5001724023037684
75% Corpus,6,symmetric,symmetric,0.4424543291984187
75% Corpus,6,asymmetric,0.01,0.3823574419901687
75% Corpus,6,asymmetric,0.31,0.41784002137479437
75% Corpus,6,asymmetric,0.61,0.47445261016927276
75% Corpus,6,asymmetric,0.9099999999999999,0.5158667490012816
75% Corpus,6,asymmetric,symmetric,0.4193034111518204
75% Corpus,7,0.01,0.01,0.37965398399335776
75% Corpus,7,0.01,0.31,0.41620608881210414
75% Corpus,7,0.01,0.61,0.42328313823152
75% Corpus,7,0.01,0.9099999999999999,0.5103764212959397
75% Corpus,7,0.01,symmetric,0.47841004227203504
75% Corpus,7,0.31,0.01,0.38158164256306304
75% Corpus,7,0.31,0.31,0.41779802159942464
75% Corpus,7,0.31,0.61,0.47966078596078254
75% Corpus,7,0.31,0.9099999999999999,0.5131038461336577
75% Corpus,7,0.31,symmetric,0.45238399843638594
75% Corpus,7,0.61,0.01,0.3841229025917836
75% Corpus,7,0.61,0.31,0.46746673233733427
75% Corpus,7,0.61,0.61,0.6019337136185424
75% Corpus,7,0.61,0.9099999999999999,0.5992881234306681
75% Corpus,7,0.61,symmetric,0.4147057191431204
75% Corpus,7,0.9099999999999999,0.01,0.41015645647806387
75% Corpus,7,0.9099999999999999,0.31,0.43696750217521185
75% Corpus,7,0.9099999999999999,0.61,0.5707494572341029
