Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,symmetric,0.9099999999999999,0.5208199507613314
75% Corpus,3,symmetric,symmetric,0.4111384577456611
75% Corpus,3,asymmetric,0.01,0.3711988047676121
75% Corpus,3,asymmetric,0.31,0.37798565405263745
75% Corpus,3,asymmetric,0.61,0.396030160496547
75% Corpus,3,asymmetric,0.9099999999999999,0.4022825582507475
75% Corpus,3,asymmetric,symmetric,0.3833028114759469
75% Corpus,4,0.01,0.01,0.39833892551936434
75% Corpus,4,0.01,0.31,0.4513733115608052
75% Corpus,4,0.01,0.61,0.5190605963027677
75% Corpus,4,0.01,0.9099999999999999,0.5315070139838969
75% Corpus,4,0.01,symmetric,0.43686319202517004
75% Corpus,4,0.31,0.01,0.39845290719467524
75% Corpus,4,0.31,0.31,0.37643372000585873
75% Corpus,4,0.31,0.61,0.466210861399747
75% Corpus,4,0.31,0.9099999999999999,0.5585284820999151
75% Corpus,4,0.31,symmetric,0.385642332012984
75% Corpus,4,0.61,0.01,0.3990342877054039
75% Corpus,4,0.61,0.31,0.4108175619813106
75% Corpus,4,0.61,0.61,0.4428593516161438
75% Corpus,4,0.61,0.9099999999999999,0.5729797489814021
75% Corpus,4,0.61,symmetric,0.40588020661855234
75% Corpus,4,0.9099999999999999,0.01,0.39566958105109384
75% Corpus,4,0.9099999999999999,0.31,0.40682623441519883
75% Corpus,4,0.9099999999999999,0.61,0.4487650599498097
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4593371869344393
75% Corpus,4,0.9099999999999999,symmetric,0.4063687183588828
75% Corpus,4,symmetric,0.01,0.40397557254217276
75% Corpus,4,symmetric,0.31,0.4183875444058063
75% Corpus,4,symmetric,0.61,0.4904271267527017
75% Corpus,4,symmetric,0.9099999999999999,0.5588976615575574
75% Corpus,4,symmetric,symmetric,0.3662902697651066
75% Corpus,4,asymmetric,0.01,0.39117580985920214
75% Corpus,4,asymmetric,0.31,0.43062558273584445
75% Corpus,4,asymmetric,0.61,0.4268484889288833
75% Corpus,4,asymmetric,0.9099999999999999,0.47681429724591745
75% Corpus,4,asymmetric,symmetric,0.4172410720177518
75% Corpus,5,0.01,0.01,0.39895571938099544
75% Corpus,5,0.01,0.31,0.426882237086929
75% Corpus,5,0.01,0.61,0.5145030129724928
75% Corpus,5,0.01,0.9099999999999999,0.46240821888708233
75% Corpus,5,0.01,symmetric,0.36987373544365865
75% Corpus,5,0.31,0.01,0.3957936277736659
75% Corpus,5,0.31,0.31,0.4369551637004296
75% Corpus,5,0.31,0.61,0.45208931824883347
75% Corpus,5,0.31,0.9099999999999999,0.5017238774931893
75% Corpus,5,0.31,symmetric,0.3448835806946831
75% Corpus,5,0.61,0.01,0.40695287465383173
75% Corpus,5,0.61,0.31,0.40808128868848115
75% Corpus,5,0.61,0.61,0.43100776683734754
75% Corpus,5,0.61,0.9099999999999999,0.5267457268302898
75% Corpus,5,0.61,symmetric,0.4036608683421206
75% Corpus,5,0.9099999999999999,0.01,0.4121168427619013
75% Corpus,5,0.9099999999999999,0.31,0.41394865170280887
75% Corpus,5,0.9099999999999999,0.61,0.3960636098486964
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4070350611801355
75% Corpus,5,0.9099999999999999,symmetric,0.4141323323738571
75% Corpus,5,symmetric,0.01,0.4045034649333048
