Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,asymmetric,0.9099999999999999,0.45878482465641146
100% Corpus,3,asymmetric,symmetric,0.45460426643064694
100% Corpus,4,0.01,0.01,0.4826862273865419
100% Corpus,4,0.01,0.31,0.41780706028033027
100% Corpus,4,0.01,0.61,0.4721399576769266
100% Corpus,4,0.01,0.9099999999999999,0.5861094526792914
100% Corpus,4,0.01,symmetric,0.44735713812791944
100% Corpus,4,0.31,0.01,0.4793221211109623
100% Corpus,4,0.31,0.31,0.4458072860080322
100% Corpus,4,0.31,0.61,0.46328970651755913
100% Corpus,4,0.31,0.9099999999999999,0.4855665567807065
100% Corpus,4,0.31,symmetric,0.47623757450380033
100% Corpus,4,0.61,0.01,0.48625937790548673
100% Corpus,4,0.61,0.31,0.48306389184259824
100% Corpus,4,0.61,0.61,0.47836510140440186
100% Corpus,4,0.61,0.9099999999999999,0.4399873672362427
100% Corpus,4,0.61,symmetric,0.48060932821289415
100% Corpus,4,0.9099999999999999,0.01,0.4862483303293372
100% Corpus,4,0.9099999999999999,0.31,0.47681930149268315
100% Corpus,4,0.9099999999999999,0.61,0.4758169111319047
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4864733671066578
100% Corpus,4,0.9099999999999999,symmetric,0.4931449646295003
100% Corpus,4,symmetric,0.01,0.46239183934908584
100% Corpus,4,symmetric,0.31,0.47429979285009893
100% Corpus,4,symmetric,0.61,0.4798183176432142
100% Corpus,4,symmetric,0.9099999999999999,0.472018134896024
100% Corpus,4,symmetric,symmetric,0.4510336420455196
100% Corpus,4,asymmetric,0.01,0.47439741472195396
100% Corpus,4,asymmetric,0.31,0.42342211066858715
100% Corpus,4,asymmetric,0.61,0.46438171987180205
100% Corpus,4,asymmetric,0.9099999999999999,0.4934263506861136
100% Corpus,4,asymmetric,symmetric,0.45979311500395753
100% Corpus,5,0.01,0.01,0.4961036133414294
100% Corpus,5,0.01,0.31,0.41043311779734387
100% Corpus,5,0.01,0.61,0.48860034092019333
100% Corpus,5,0.01,0.9099999999999999,0.5383885562849868
100% Corpus,5,0.01,symmetric,0.4254778733042535
100% Corpus,5,0.31,0.01,0.49155221193661375
100% Corpus,5,0.31,0.31,0.4073728753281281
