Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.31,0.61,0.46783857864743594
75% Corpus,8,0.31,0.9099999999999999,0.4237032714100011
75% Corpus,8,0.31,symmetric,0.4504073537004536
75% Corpus,8,0.61,0.01,0.4055059910645729
75% Corpus,8,0.61,0.31,0.4769572521236167
75% Corpus,8,0.61,0.61,0.4811896315887063
75% Corpus,8,0.61,0.9099999999999999,0.5889571075389155
75% Corpus,8,0.61,symmetric,0.38632409070675716
75% Corpus,8,0.9099999999999999,0.01,0.38602054019921006
75% Corpus,8,0.9099999999999999,0.31,0.4008719907653525
75% Corpus,8,0.9099999999999999,0.61,0.46355650655237074
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5994713426183733
75% Corpus,8,0.9099999999999999,symmetric,0.39037332908015976
75% Corpus,8,symmetric,0.01,0.3970317284186217
75% Corpus,8,symmetric,0.31,0.45589847754855223
75% Corpus,8,symmetric,0.61,0.4464707229804801
75% Corpus,8,symmetric,0.9099999999999999,0.40638116739542424
75% Corpus,8,symmetric,symmetric,0.4668438733954521
75% Corpus,8,asymmetric,0.01,0.41232306756435627
75% Corpus,8,asymmetric,0.31,0.4493961159786469
75% Corpus,8,asymmetric,0.61,0.4588484459137271
75% Corpus,8,asymmetric,0.9099999999999999,0.35276060648331975
75% Corpus,8,asymmetric,symmetric,0.4605772440321181
75% Corpus,9,0.01,0.01,0.40530273514154125
75% Corpus,9,0.01,0.31,0.41230568310686705
75% Corpus,9,0.01,0.61,0.40650946973626
75% Corpus,9,0.01,0.9099999999999999,0.5015547801395444
75% Corpus,9,0.01,symmetric,0.5228611959344204
75% Corpus,9,0.31,0.01,0.4118878625666665
75% Corpus,9,0.31,0.31,0.4894948997982716
75% Corpus,9,0.31,0.61,0.41430047212341237
75% Corpus,9,0.31,0.9099999999999999,0.45519164164684
75% Corpus,9,0.31,symmetric,0.4721659021700934
75% Corpus,9,0.61,0.01,0.39493582784426623
75% Corpus,9,0.61,0.31,0.4643591786621967
75% Corpus,9,0.61,0.61,0.53602812689043
75% Corpus,9,0.61,0.9099999999999999,0.614057751753553
75% Corpus,9,0.61,symmetric,0.3854205678187364
75% Corpus,9,0.9099999999999999,0.01,0.39862236757332814
75% Corpus,9,0.9099999999999999,0.31,0.3839523859176672
75% Corpus,9,0.9099999999999999,0.61,0.5120176551627976
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.5958795189913777
75% Corpus,9,0.9099999999999999,symmetric,0.3958442285911945
75% Corpus,9,symmetric,0.01,0.4180546689114309
75% Corpus,9,symmetric,0.31,0.47484520606194586
75% Corpus,9,symmetric,0.61,0.37415942070536706
75% Corpus,9,symmetric,0.9099999999999999,0.5099120948134734
75% Corpus,9,symmetric,symmetric,0.5186904081671244
75% Corpus,9,asymmetric,0.01,0.40463064960068656
75% Corpus,9,asymmetric,0.31,0.4388421489056864
75% Corpus,9,asymmetric,0.61,0.4683228350697816
75% Corpus,9,asymmetric,0.9099999999999999,0.44831506918053043
75% Corpus,9,asymmetric,symmetric,0.46976558165702303
75% Corpus,10,0.01,0.01,0.421491562216145
75% Corpus,10,0.01,0.31,0.42768127667553735
75% Corpus,10,0.01,0.61,0.41232227674999467
75% Corpus,10,0.01,0.9099999999999999,0.4590713647495176
75% Corpus,10,0.01,symmetric,0.5007749445801062
75% Corpus,10,0.31,0.01,0.40436099624310096
75% Corpus,10,0.31,0.31,0.4722285405515203
75% Corpus,10,0.31,0.61,0.46397256467628145
75% Corpus,10,0.31,0.9099999999999999,0.43951073942421565
75% Corpus,10,0.31,symmetric,0.4731979602351287
75% Corpus,10,0.61,0.01,0.39978067608096624
75% Corpus,10,0.61,0.31,0.49345100870337844
75% Corpus,10,0.61,0.61,0.564749158240335
75% Corpus,10,0.61,0.9099999999999999,0.6273110059228865
75% Corpus,10,0.61,symmetric,0.39274806840490845
75% Corpus,10,0.9099999999999999,0.01,0.40945937823408335
75% Corpus,10,0.9099999999999999,0.31,0.39253973103723216
75% Corpus,10,0.9099999999999999,0.61,0.48558857956517826
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.6260803592492143
75% Corpus,10,0.9099999999999999,symmetric,0.3997873240769472
75% Corpus,10,symmetric,0.01,0.41457458228116345
75% Corpus,10,symmetric,0.31,0.4989946754481541
75% Corpus,10,symmetric,0.61,0.4211097586868813
75% Corpus,10,symmetric,0.9099999999999999,0.4268483723869104
75% Corpus,10,symmetric,symmetric,0.4837883019413403
75% Corpus,10,asymmetric,0.01,0.42457341223107853
75% Corpus,10,asymmetric,0.31,0.4749187732883661
75% Corpus,10,asymmetric,0.61,0.4519016838606619
