Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.91,0.91,0.496818983
75% Corpus,7,0.91,symmetric,0.370834364
75% Corpus,7,symmetric,0.01,0.351850446
75% Corpus,7,symmetric,0.31,0.534605296
75% Corpus,7,symmetric,0.61,0.548038293
75% Corpus,7,symmetric,0.91,0.440522075
75% Corpus,7,symmetric,symmetric,0.448032099
75% Corpus,7,asymmetric,0.01,0.375930626
75% Corpus,7,asymmetric,0.31,0.532911149
75% Corpus,7,asymmetric,0.61,0.480532137
75% Corpus,7,asymmetric,0.91,0.478006156
75% Corpus,7,asymmetric,symmetric,0.476028319
75% Corpus,8,0.01,0.01,0.352006457
75% Corpus,8,0.01,0.31,0.497959524
75% Corpus,8,0.01,0.61,0.431184776
75% Corpus,8,0.01,0.91,0.447428679
75% Corpus,8,0.01,symmetric,0.489851039
75% Corpus,8,0.31,0.01,0.383212272
75% Corpus,8,0.31,0.31,0.493067886
75% Corpus,8,0.31,0.61,0.518407975
75% Corpus,8,0.31,0.91,0.523914718
75% Corpus,8,0.31,symmetric,0.46551319
75% Corpus,8,0.61,0.01,0.385635983
75% Corpus,8,0.61,0.31,0.500303333
75% Corpus,8,0.61,0.61,0.530149752
75% Corpus,8,0.61,0.91,0.605912075
75% Corpus,8,0.61,symmetric,0.398592751
75% Corpus,8,0.91,0.01,0.379161915
75% Corpus,8,0.91,0.31,0.45721585
75% Corpus,8,0.91,0.61,0.51697163
75% Corpus,8,0.91,0.91,0.588158415
75% Corpus,8,0.91,symmetric,0.358006714
75% Corpus,8,symmetric,0.01,0.385474232
75% Corpus,8,symmetric,0.31,0.548774851
75% Corpus,8,symmetric,0.61,0.472134123
75% Corpus,8,symmetric,0.91,0.506235879
75% Corpus,8,symmetric,symmetric,0.521137611
75% Corpus,8,asymmetric,0.01,0.396407712
75% Corpus,8,asymmetric,0.31,0.542210713
75% Corpus,8,asymmetric,0.61,0.543333088
75% Corpus,8,asymmetric,0.91,0.483840273
75% Corpus,8,asymmetric,symmetric,0.485782476
75% Corpus,9,0.01,0.01,0.376117882
75% Corpus,9,0.01,0.31,0.498738854
75% Corpus,9,0.01,0.61,0.537552124
75% Corpus,9,0.01,0.91,0.503161498
75% Corpus,9,0.01,symmetric,0.515602111
75% Corpus,9,0.31,0.01,0.379860727
75% Corpus,9,0.31,0.31,0.501367688
75% Corpus,9,0.31,0.61,0.501952814
75% Corpus,9,0.31,0.91,0.480462402
75% Corpus,9,0.31,symmetric,0.501328703
75% Corpus,9,0.61,0.01,0.380020325
75% Corpus,9,0.61,0.31,0.48120382
75% Corpus,9,0.61,0.61,0.490928384
75% Corpus,9,0.61,0.91,0.55191368
75% Corpus,9,0.61,symmetric,0.367444084
75% Corpus,9,0.91,0.01,0.376295301
75% Corpus,9,0.91,0.31,0.499983561
75% Corpus,9,0.91,0.61,0.524474651
75% Corpus,9,0.91,0.91,0.557560386
75% Corpus,9,0.91,symmetric,0.354452939
75% Corpus,9,symmetric,0.01,0.383923547
75% Corpus,9,symmetric,0.31,0.537810156
75% Corpus,9,symmetric,0.61,0.534631225
75% Corpus,9,symmetric,0.91,0.507107704
75% Corpus,9,symmetric,symmetric,0.453741705
75% Corpus,9,asymmetric,0.01,0.397132352
75% Corpus,9,asymmetric,0.31,0.478579139
75% Corpus,9,asymmetric,0.61,0.504735052
75% Corpus,9,asymmetric,0.91,0.547690122
75% Corpus,9,asymmetric,symmetric,0.523106076
75% Corpus,10,0.01,0.01,0.412657401
75% Corpus,10,0.01,0.31,0.528428727
75% Corpus,10,0.01,0.61,0.501578037
75% Corpus,10,0.01,0.91,0.459183791
75% Corpus,10,0.01,symmetric,0.482367937
75% Corpus,10,0.31,0.01,0.386686696
75% Corpus,10,0.31,0.31,0.499132044
75% Corpus,10,0.31,0.61,0.517424764
75% Corpus,10,0.31,0.91,0.460918583
75% Corpus,10,0.31,symmetric,0.512506848
75% Corpus,10,0.61,0.01,0.352676467
75% Corpus,10,0.61,0.31,0.500628704
75% Corpus,10,0.61,0.61,0.528142738
75% Corpus,10,0.61,0.91,0.571212866
75% Corpus,10,0.61,symmetric,0.372001505
75% Corpus,10,0.91,0.01,0.382461623
75% Corpus,10,0.91,0.31,0.502369418
75% Corpus,10,0.91,0.61,0.541527696
75% Corpus,10,0.91,0.91,0.591277249
75% Corpus,10,0.91,symmetric,0.361901419
75% Corpus,10,symmetric,0.01,0.403655332
75% Corpus,10,symmetric,0.31,0.500767596
75% Corpus,10,symmetric,0.61,0.42742819
75% Corpus,10,symmetric,0.91,0.488858886
75% Corpus,10,symmetric,symmetric,0.495151468
75% Corpus,10,asymmetric,0.01,0.431884622
75% Corpus,10,asymmetric,0.31,0.504662963
75% Corpus,10,asymmetric,0.61,0.418256156
75% Corpus,10,asymmetric,0.91,0.424851946
75% Corpus,10,asymmetric,symmetric,0.512251501
100% Corpus,7,0.91,0.91,0.514332253
100% Corpus,8,0.01,symmetric,0.504062101
